# Omega_m, sigma_8, w, Omega_b, little_h, n_s, m_nu
0.283026083583668431, 0.804618059816817000, -0.979065584221056273, 0.048673213992365870, 0.675704040516779569, 0.950303371903902794, 0.136728682471870810
0.267974851064185282, 0.811753516493037175, -0.754799488620665593, 0.048229592534750565, 0.684150949928107210, 0.960851854212328438, 0.067291573881433836
0.343928265842102343, 0.761631596872690109, -0.589377188489343617, 0.045584302020448692, 0.702407632663685555, 0.957958068598691925, 0.096753129816166933
0.253288193314866961, 0.864501049286564682, -0.874232227684515806, 0.044092600806599394, 0.708045566683299321, 0.963062222466674389, 0.109202639295522708
0.305694208541121282, 0.747771008973120432, -0.817463817593626407, 0.041681188765135657, 0.729453843617074216, 0.955729824416228668, 0.060810016726526042
0.219727239564783683, 0.918317519077265776, -0.445163616276174290, 0.040638816558815322, 0.744514284003298221, 0.962001926202312507, 0.068634620241834407
0.295919843789686610, 0.794184724948695853, -0.681935519866416096, 0.048333673052499374, 0.684810217770188912, 0.959547070282800063, 0.098684187916931898
0.276297143727304517, 0.844548626312377038, -0.927550042864581203, 0.046558517333169867, 0.691410435825759451, 0.964072569644442656, 0.111382172315665870
0.333520666809482669, 0.765000999909572821, -0.953447006337885483, 0.044514067740510005, 0.708569133359077008, 0.965556606444164744, 0.069831756378507026
0.252268671126580968, 0.906343078455927320, -0.720042264653949493, 0.043957621403788373, 0.714589454268121482, 0.970013398344928612, 0.078817213641193068
0.286003108852957211, 0.761257695071128837, -0.528260544347701755, 0.040138961129022363, 0.746974776589470313, 0.967610762149326509, 0.113324918163029170
0.263174136286472682, 0.829000846184429707, -0.846405742878209688, 0.050399808690454719, 0.665174760520684916, 0.973606179679360806, 0.127906768337782889
0.302485752732245095, 0.852686801508852343, -0.901207563158127667, 0.046515059339373964, 0.691966914509952513, 0.966561464578170493, 0.080191956217304933
0.280467313790146000, 0.843689336594699912, -0.639137820719689165, 0.045944866175451592, 0.697816490707858006, 0.971538696578987837, 0.090510490832074547
0.318826253523811276, 0.752898963111182318, -0.787073801342348944, 0.043836003795336524, 0.715169736434544512, 0.968741760102836746, 0.130137738859112340
0.232015187796669409, 0.856894527215517177, -1.004560920190221696, 0.042805497274195761, 0.722182336149194026, 0.977711664662900048, 0.064047814334803610
0.287552012729248463, 0.864905409797630309, -1.002968227103663068, 0.050561960603725260, 0.666692490526935910, 0.966915542029332387, 0.092089189438423244
0.265642537765634845, 0.853753653058063944, -0.785117098735102603, 0.047790763828910697, 0.678288564518228609, 0.972162165033386372, 0.103938576006466513
0.398669004736106225, 0.674556535083524533, -0.636262869060774561, 0.045525579724335970, 0.698331289263231292, 0.964907710821324649, 0.065164946661680823
0.256560835590434189, 0.815062337329514053, -0.899542228989152703, 0.045500755650593631, 0.703931692284486710, 0.969158970747660775, 0.073549911806764387
0.309385106543477506, 0.785600868779206540, -0.844632602787323661, 0.043259960336531345, 0.722898726257919844, 0.967987983477523906, 0.105751489444221539
0.220021395318025559, 0.953557503171173271, -0.523884756477339897, 0.041450767726261009, 0.732487267092529759, 0.974590048773915751, 0.119358844294584571
0.299954103767448244, 0.730116635078918885, -0.717769664520324424, 0.048022125507809099, 0.679092854914061905, 0.965898864896638343, 0.074832781253156316
0.273478587909709969, 0.803695561072080622, -0.951838260621800214, 0.047724792611141945, 0.686717353991493140, 0.970500461362977629, 0.084461735079744069
0.325725710961245474, 0.728864958900243720, -0.925918513271903110, 0.045155159637735462, 0.704440912581910106, 0.958549890016992867, 0.121440720543525102
0.242339105294615609, 0.868176436132049867, -0.679415622128828112, 0.044240997175682771, 0.710158511592776986, 0.963413556352994860, 0.137066854855242004
0.286505841755092694, 0.816746524557217857, -0.438695891299835994, 0.041547815022485543, 0.733608504774346804, 0.953208216628086746, 0.085934930310864494
0.249399561922556634, 0.893150088376805318, -0.815610780281250558, 0.038869275426686924, 0.760141753065182724, 0.961260582208780079, 0.096992430275419803
0.300144025347601207, 0.789407813924791979, -0.949999999999999956, 0.047483739388901380, 0.687332228644552234, 0.960018959480363865, 0.065000000000000002
0.275472577981478173, 0.811769396352621020, -0.585954428872546007, 0.046428939942688166, 0.693606435167779867, 0.964413735990340304, 0.060960418733752894
0.318418071628893129, 0.797917357977029895, -0.752707258106182886, 0.044122021330182490, 0.710695498472507015, 0.956614874984855978, 0.087650072173776489
0.231678175145695081, 0.911559321974335868, -0.977469604307489415, 0.043545912508281881, 0.716956986344231106, 0.962374182933645295, 0.098928264481011913
