# Omega_m, sigma_8, w, Omega_b, little_h, n_s, m_nu
0.315918753451672640, 0.770709505825065588, -0.964680046547489844, 0.036706630823876957, 0.779967292415678526, 0.972664563175806407, 0.062023700207675711
0.236737234849078215, 0.868649375813654756, -0.735601681645341565, 0.060516772023407855, 0.608751121067614309, 0.967177047665647827, 0.070004471942371069
0.303574042829834967, 0.811538578641977315, -0.556839584068743454, 0.047359757159011182, 0.687392694370794199, 0.969474471434020102, 0.100653787255542249
0.274857814061330974, 0.833194276499559461, -0.858700220498541333, 0.046301311266292472, 0.693659942876545754, 0.965154526264573653, 0.113605205787964167
0.283078055632530745, 0.792545806582696244, -0.800572643107118620, 0.044154875566321451, 0.710748972239726440, 0.975489958709773286, 0.071225501253753737
0.260259590799316598, 0.854366555680392437, -0.377188980778039973, 0.043573274338192983, 0.717017376979131593, 0.968269374147113338, 0.080390295764435321
0.329265106923126827, 0.758559864788957983, -0.658554773343514088, 0.054212747000869574, 0.643546881116807579, 0.970876807232773142, 0.115586726144363106
0.248617226079689779, 0.905625508673421953, -0.912798646689640503, 0.049694820313904979, 0.670695853347913262, 0.966149587258792186, 0.130459609797388798
0.295593987130179703, 0.809626233859963795, -0.938924565588779014, 0.046199372944109994, 0.694197257478572305, 0.963666136862859624, 0.081792476293129301
0.273380574151199596, 0.877497836305935031, -0.699090809264104163, 0.046373325391779560, 0.699916962769218998, 0.958947335205012297, 0.092316954528469469
0.305499334095578667, 0.741284666690389504, -0.485480730932465687, 0.043758264964509581, 0.717631463974378603, 0.961548405157487740, 0.132735107391960844
0.213053171153689019, 0.924109142175183362, -0.830282570243938478, 0.042187789126289163, 0.725241787163781848, 0.954372855795842856, 0.065326119759573920
0.342260181077343573, 0.772265816795413507, -0.886124933391059022, 0.049023387515845354, 0.671822466680154218, 0.964660907216939090, 0.093927161766510475
0.257361174469274367, 0.863619059018447155, -0.612212946410929271, 0.048448064942730670, 0.681441277102374676, 0.960345578644120179, 0.106013045634070477
0.287763251266373477, 0.784187187194403723, -0.769185041511400547, 0.046042557033592307, 0.700426254745826649, 0.962639407159683880, 0.066465548496226601
0.267086987336793535, 0.751894853908879890, -0.990226067485562855, 0.044598425056427117, 0.706026244818964588, 0.957168290133658894, 0.075017865900599459
0.351986751835705436, 0.732946924982798009, -0.983850792574818778, 0.042105819053557703, 0.726043991721566306, 0.969636579916533625, 0.107862142306276054
0.254601631750360657, 0.879355760465524217, -0.761019155525843871, 0.041432516450562298, 0.737588040778817677, 0.965278056930554129, 0.121741081061611495
0.293817566615494352, 0.763522752609607336, -0.599394441180248982, 0.048979559584533504, 0.682159109665374741, 0.972935363020608790, 0.076326339639497323
0.269654348274619704, 0.828596969098049585, -0.879347831977487004, 0.046882090256076564, 0.689181983771329110, 0.967309258065725763, 0.086147474011810651
0.294703096064666492, 0.822262118130234199, -0.822989545947797829, 0.044542388596858135, 0.706540893632463973, 0.971073204681238811, 0.123864508669179349
0.268940857336506078, 0.839199676611547818, -0.463408438387394317, 0.044526848151710721, 0.712387334724355670, 0.966275669547753457, 0.139802518920244312
0.311664980375093104, 0.773692773405986522, -0.689388500082696254, 0.041192284162337195, 0.739094363380452091, 0.976035102843153091, 0.076542124790357810
0.207121914827050002, 0.925948693510250553, -0.932434398496831851, 0.051253101958260466, 0.657200536486522102, 0.968412595159607870, 0.086391024872020716
0.279200409776937220, 0.812026335133034571, -0.906188985940847069, 0.046833367687332567, 0.689762855533024632, 0.961689698361178458, 0.124214690818823567
0.260439312109633225, 0.817584080767610133, -0.647605839485269508, 0.046229926303793772, 0.695787469546583881, 0.954841325762242121, 0.061132762294509375
0.323869859411722472, 0.839103583293896227, -1.000000000000000000, 0.044127212836858165, 0.712943366561118896, 0.963791662059276799, 0.087897871087444832
0.241279839384266281, 0.908098449718791945, -0.792900530964356642, 0.043137146154600445, 0.719535862880156252, 0.959137419010943959, 0.099207948408948518
0.314579570560031274, 0.732039281577552603, -0.949999999999999956, 0.051372326371743687, 0.659698090599308840, 0.962770502811985285, 0.065000000000000002
0.224646627191233905, 0.898431254139596125, -0.540922967229805818, 0.049304937611036923, 0.674868144435214368, 0.957423879209293727, 0.070202384296223483
0.291696158259037941, 0.810671316716956025, -0.726783420091535848, 0.046209478087838624, 0.696311267655104871, 0.964784331210789770, 0.100938349475743067
0.279465201414351549, 0.871579994670119929, -0.958266896847562610, 0.045275235909805631, 0.701950420014596843, 0.960504356390624481, 0.113926383465097356
