1.05433E-05 9.99995E-01
1.16423E-05 9.99993E-01
1.28559E-05 9.99990E-01
1.41959E-05 9.99987E-01
1.56756E-05 9.99983E-01
1.73096E-05 9.99979E-01
1.91139E-05 9.99973E-01
2.11063E-05 9.99967E-01
2.33063E-05 9.99959E-01
2.57357E-05 9.99949E-01
2.84183E-05 9.99937E-01
3.13805E-05 9.99922E-01
3.46515E-05 9.99904E-01
3.82634E-05 9.99882E-01
4.22518E-05 9.99855E-01
4.66560E-05 9.99823E-01
5.15193E-05 9.99783E-01
5.68894E-05 9.99735E-01
6.28194E-05 9.99676E-01
6.93674E-05 9.99604E-01
7.65980E-05 9.99517E-01
8.45823E-05 9.99411E-01
9.33988E-05 9.99281E-01
1.03134E-04 9.99124E-01
1.13885E-04 9.98933E-01
1.25756E-04 9.98701E-01
1.38864E-04 9.98419E-01
1.53339E-04 9.98078E-01
1.69322E-04 9.97665E-01
1.86972E-04 9.97165E-01
2.06461E-04 9.96562E-01
2.27981E-04 9.95835E-01
2.51745E-04 9.94962E-01
2.77986E-04 9.93916E-01
3.06963E-04 9.92667E-01
3.38959E-04 9.91180E-01
3.74291E-04 9.89419E-01
4.13306E-04 9.87341E-01
4.56387E-04 9.84902E-01
5.03959E-04 9.82055E-01
5.56490E-04 9.78749E-01
6.14497E-04 9.74930E-01
6.78549E-04 9.70538E-01
7.49279E-04 9.65512E-01
8.27381E-04 9.59783E-01
9.13624E-04 9.53280E-01
1.00886E-03 9.45925E-01
1.11402E-03 9.37643E-01
1.23014E-03 9.28355E-01
1.35836E-03 9.17986E-01
1.49995E-03 9.06467E-01
1.65630E-03 8.93734E-01
1.82895E-03 8.79738E-01
2.01959E-03 8.64440E-01
2.23011E-03 8.47814E-01
2.46256E-03 8.29849E-01
2.71925E-03 8.10544E-01
3.00270E-03 7.89912E-01
3.31569E-03 7.67983E-01
3.66130E-03 7.44798E-01
4.04294E-03 7.20397E-01
4.46436E-03 6.94833E-01
4.92971E-03 6.68168E-01
5.44357E-03 6.40477E-01
6.01098E-03 6.11846E-01
6.63755E-03 5.82348E-01
7.32942E-03 5.52077E-01
8.09341E-03 5.21121E-01
8.93704E-03 4.89584E-01
